	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS05860	5165	697	4115	1029	1697	3151	1570	974	1831	2149	2076	2927	753	3700	1917
MCA_RS05865	3969	344	4454	1125	1117	3092	1943	1797	2875	3113	2918	3194	1188	4167	2264
MCA_RS05870	1348	70	722	112	330	602	168	98	572	775	683	283	306	989	113
MCA_RS05875	3405	309	1729	725	1557	1141	1009	463	1695	1309	1495	1731	781	3252	1882
MCA_RS05880	270	0	0	83	0	219	155	188	174	127	130	0	38	114	113
MCA_RS05885	2380	242	1270	574	544	573	969	204	1326	613	1050	1682	962	2907	2080
MCA_RS05890	2625	776	1944	758	255	527	998	706	1533	1642	2059	1707	891	3115	1797
MCA_RS05895	1913	193	1317	179	487	533	1000	431	1900	1195	646	2331	512	1244	1136
MCA_RS05900	16017	6611	16632	4143	8782	10340	9480	6796	13581	11818	11925	13024	8094	20024	11238
MCA_RS05905	2654	770	1971	436	833	1156	988	271	1720	1503	2353	3211	1231	3157	1883
MCA_RS05910	535	85	89	0	135	112	369	99	706	514	499	266	55	432	202
MCA_RS05915	1762	427	1922	586	747	923	1028	1169	1804	921	1201	1901	845	1796	1098
MCA_RS05920	418	85	556	47	158	202	82	97	200	213	547	167	115	419	583
MCA_RS05925	4469	1267	3408	1031	2384	2428	3055	1201	2839	3311	2986	4279	3212	6991	3437
MCA_RS05930	11071	4968	14836	3679	3754	5888	6317	6767	13160	7528	8926	16108	9548	17693	13136
MCA_RS05935	25444	7129	29155	7742	11376	17224	11716	9748	24752	15940	15349	29664	17798	39365	21357
MCA_RS05940	31752	6103	28887	9198	14951	20799	17502	10504	19697	23123	25481	22555	11589	41442	16849
MCA_RS05945	4304	2962	4308	974	1397	1192	3713	3121	4022	4961	4235	3266	2674	4695	3634
MCA_RS05950	3934	1723	4971	497	1435	1618	3057	2160	2937	3858	4886	2741	2000	8411	3144
MCA_RS05955	5281	2482	5515	1324	3067	4944	5033	3034	5494	3984	7077	6095	3278	9958	5676
MCA_RS05960	9649	4419	10475	3029	8258	9912	7151	6983	8333	8910	9567	9395	5492	15057	10292
MCA_RS05965	29969	12114	27314	4955	11774	16702	23183	19843	23671	24880	28874	19019	14073	43451	25982
MCA_RS05970	7575	2939	7847	2589	4733	5116	3179	3058	6931	5016	4812	6724	4652	11265	5220
MCA_RS05975	3905	719	3726	772	3683	3040	2391	1157	2361	3380	2605	2787	2200	5720	3000
MCA_RS05980	2856	1088	4088	906	2403	2309	2186	1084	2519	2980	2446	2865	1884	4918	2657
MCA_RS05985	2619	852	2502	829	1342	1520	1051	794	1532	1544	1429	2121	1374	2420	1447
MCA_RS05995	3325	783	3725	639	644	1789	1411	900	2231	1784	2555	3456	1990	4098	1864
MCA_RS06000	2610	918	2252	388	308	750	1684	1386	1383	1747	2557	1865	1251	2663	1645
MCA_RS06005	588	0	197	0	147	120	417	138	579	249	276	76	243	405	233
MCA_RS06010	860	373	800	47	405	385	511	339	1043	740	983	784	484	1508	501
MCA_RS06015	18193	8249	16796	3970	10410	12172	10102	9689	12194	13712	18101	11202	8594	21341	12615
MCA_RS06020	5035	2811	5011	1808	3168	2640	4489	2512	4497	5254	5149	3130	3017	6670	4611
MCA_RS06025	3729	1882	3566	869	2624	3525	2480	1363	4935	3208	3063	3359	1996	5127	1721
MCA_RS06030	7884	1963	5191	1370	4485	3537	3530	2914	5047	5009	5407	5146	3917	9424	4014
MCA_RS15680	1991	303	2542	312	769	176	1347	1605	1919	1734	2226	1519	917	2715	1584
MCA_RS06040	25883	10205	25065	3576	6411	11244	18630	13529	24304	18546	24680	19550	14265	37458	20279
MCA_RS06045	4074	1639	3166	399	1278	1371	2997	2156	1643	2277	3924	2387	1528	4091	1276
MCA_RS06050	1535	995	1615	175	368	694	873	1285	1592	530	1519	1332	396	1566	413
MCA_RS06055	1727	673	1732	305	576	409	1414	899	2341	1088	1937	987	669	2983	1030
MCA_RS06060	22985	9712	24942	6706	11345	17762	15520	11816	21729	21127	19608	18659	11980	34134	17635
MCA_RS06065	4428	1583	4966	885	2022	2078	3636	1425	4834	3999	3552	4083	2477	7237	3255
MCA_RS06070	10385	4375	11296	2099	5242	5430	7166	4703	10153	8467	9247	9234	5369	18544	6849
MCA_RS06075	6343	1793	7222	517	1547	2197	5084	3138	6745	6167	6397	6577	3578	7769	5066
MCA_RS06080	2516	917	3469	577	1058	1517	1772	1894	2468	2020	3044	2421	1183	4245	2322
MCA_RS06085	14425	4708	14926	1686	2398	3481	15285	14476	14022	12416	21686	11120	6656	19335	13730
MCA_RS06100	22219	7759	16281	4059	6916	8277	9865	6969	11572	11916	14577	13454	8339	23066	12512
MCA_RS06105	33451	13063	31523	4607	8144	11275	19725	17185	26507	22801	27450	29101	16863	37567	26367
MCA_RS06110	16724	7672	15522	5243	10606	14002	11026	7419	15763	14675	12830	21240	13726	29785	13724
MCA_RS06115	8425	2995	9447	2030	5283	6579	6234	4685	6653	5505	6348	6854	5407	10826	6351
MCA_RS06120	3353	1217	3180	630	1400	3677	1561	1009	3449	2133	2459	2630	1748	4602	1219
MCA_RS16260	427	373	1468	118	187	638	443	873	234	260	1274	682	390	1452	677
MCA_RS06125	7867	3600	7939	1616	3300	3380	5562	4732	6011	6891	5755	6587	4701	10952	6326
MCA_RS06130	6039	1503	6352	875	3426	2423	3959	1126	3852	5495	4621	4975	3287	9829	3773
MCA_RS06135	543	131	910	67	307	313	460	380	611	478	1079	131	578	1046	570
MCA_RS06140	6012	2716	5942	1242	2568	3974	4138	5330	6821	4818	8492	6093	3697	9190	5739
