	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS16025	7.971393389	7.813789481	7.978838738	8.281803044	8.569078762	8.166230265	7.90840533	7.74860768	7.848853591	8.10282596	7.387673114	8.075128006	7.596066765	8.012470266	7.517177824
MCA_RS09060	9.226423786	8.982525839	9.509063234	9.985292708	10.20331487	9.649651341	8.961909603	8.820146962	9.049530585	9.194663418	9.040062227	9.309520757	9.538503404	9.202089125	9.285152018
MCA_RS09065	8.75867735	9.230762351	9.134948809	10.14396173	9.940114837	9.80041367	8.62413217	9.058878762	9.059689564	9.021573455	8.711231798	9.040697471	9.147771851	8.98273662	9.207981649
MCA_RS09070	9.761475794	9.917206472	9.898018745	10.58503613	10.3913882	10.62310863	9.672561359	9.407778734	9.699663514	9.734312981	9.556967073	9.965648399	10.05935245	9.930984157	9.692229844
MCA_RS09075	8.476725042	8.448344183	8.139538614	8.102020345	8.106258672	8.552268862	8.346646329	8.513372721	8.232895378	8.123940257	8.566849152	8.238481987	8.10705664	8.392844488	8.176721041
MCA_RS09080	11.04239948	11.02358984	10.88048355	11.35690371	11.46283792	11.21629288	10.92881595	10.97030731	10.84376297	10.82664713	10.87579447	10.81024965	10.94852158	11.14287612	11.02793762
MCA_RS09085	6.896212599	7.25713662	6.24654516	6.709932665	6.880340449	6.67863041	6.907559772	5.209675282	6.72839086	6.389411851	7.025940827	6.245593517	6.563979573	6.450377468	6.52086554
MCA_RS09090	5.903376205	6.408630845	6.084216989	5.359324072	6.07140942	5.259517686	6.587074186	5.823975926	5.425213044	6.557983448	6.23228418	5.994414867	5.929836989	6.282016463	5.404233977
MCA_RS09095	6.265740465	6.372883727	5.826783755	5.901475106	6.185046392	4.57586198	5.856454131	6.054016977	6.069718813	6.476755311	5.851133267	6.076821287	5.787971666	5.985932847	5.968756426
MCA_RS09100	10.17430367	10.13901168	10.24106316	10.95096457	10.39854793	10.33454686	10.47858803	10.64996698	10.32042276	10.57505373	10.28958566	9.853468236	9.873102889	10.04172327	10.20944285
MCA_RS09105	8.278803467	7.845342124	8.274670915	8.780117417	8.48946422	8.456956078	8.984074331	8.901818201	8.430678324	8.523354058	8.80417932	7.407576941	8.007469197	8.388606963	8.214879248
